Tme (s),Position (m)
18.95,0.068
19,0.036
19.05,0.001
19.1,-0.035
19.15,-0.067
19.2,-0.092
19.25,-0.108
19.3,-0.112
19.35,-0.104
19.4,-0.086
19.45,-0.059
19.5,-0.026
19.55,0.009
19.6,0.044
19.65,0.073
19.7,0.094
19.75,0.106
19.8,0.105
19.85,0.094
19.9,0.073
19.95,0.044
20,0.01
20.05,-0.025
20.1,-0.058
20.15,-0.084
20.2,-0.102
20.25,-0.109
20.3,-0.104
20.35,-0.089
20.4,-0.065
20.45,-0.034
20.5,0
20.55,0.034
20.6,0.064
20.65,0.087
20.7,0.101
20.75,0.104
20.8,0.095
20.85,0.077
20.9,0.05
20.95,0.018
21,-0.016
21.05,-0.048
21.1,-0.076
21.15,-0.095
21.2,-0.105
21.25,-0.104
21.3,-0.091
21.35,-0.07
21.4,-0.041
21.45,-0.009
21.5,0.025
21.55,0.055
21.6,0.08
21.65,0.095
21.7,0.101
21.75,0.096
21.8,0.08
21.85,0.056
21.9,0.026
21.95,-0.007
22,-0.039
22.05,-0.067
22.1,-0.088
22.15,-0.1
22.2,-0.102
22.25,-0.093
22.3,-0.074
22.35,-0.048
22.4,-0.017
22.45,0.016
22.5,0.046
22.55,0.072
22.6,0.089
22.65,0.097
22.7,0.095
22.75,0.082
22.8,0.061
22.85,0.033
22.9,0.002
22.95,-0.03
23,-0.058
23.05,-0.081
23.1,-0.095
23.15,-0.099
23.2,-0.093
23.25,-0.077
23.3,-0.054
23.35,-0.025
23.4,0.007
23.45,0.037
23.5,0.063
23.55,0.082
23.6,0.093
23.65,0.093
23.7,0.084
23.75,0.065
23.8,0.04
23.85,0.01
23.9,-0.021
23.95,-0.05
24,-0.073
24.05,-0.089
24.1,-0.096
24.15,-0.093
24.2,-0.08
24.25,-0.059
24.3,-0.032
24.35,-0.002
24.4,0.028
24.45,0.055
24.5,0.076
24.55,0.088
24.6,0.091
24.65,0.084
24.7,0.069
24.75,0.045
24.8,0.017
24.85,-0.012
24.9,-0.041
24.95,-0.066
25,-0.083
25.05,-0.092
25.1,-0.091
25.15,-0.081
25.2,-0.063
25.25,-0.038
25.3,-0.009
25.35,0.02
25.4,0.047
25.45,0.069
25.5,0.083
25.55,0.088
25.6,0.084
25.65,0.071
25.7,0.05
25.75,0.024
25.8,-0.005
25.85,-0.033
25.9,-0.058
25.95,-0.077
26,-0.088
26.05,-0.09
26.1,-0.082
26.15,-0.066
26.2,-0.043
26.25,-0.016
26.3,0.012
26.35,0.039
26.4,0.061
26.45,0.077
26.5,0.085
